path,line,category,em_dash_count,notes,snippet
Dumper/MainForm.cs,91,string-literal,1,,"Text = $@""OVL Dumper — {docName}"";"
Dumper/Plugins/ViewerPlugin.cs,95,code-comment,1,,"// Fuel limit hit or plugin error — re-instantiate and retry once"
OpenCobra/Analyzers/DisposableOwnershipAnalyzer.cs,60,code-comment,1,,"// — a primary-constructor parameter aliased by a property's default initializer."
OpenCobra/Analyzers/DisposableOwnershipAnalyzer.cs,100,code-comment,1,,"// body assignment) — same aliasing bug, different syntax."
OpenCobra/Analyzers/UnownedReferenceAnalyzer.cs,17,code-comment,1,,"// LocalizableResourceString + ResourceManager without also adding a real embedded .resx —"
OpenCobra/GDK/Camera.cs,20,xml-doc,1,,"/// The Y component is deliberately large relative to the X/Z horizontal offset — roughly a 60°"
OpenCobra/GDK/Camera.cs,24,xml-doc,1,,"/// up at a ceiling from below"" — there's no horizon, no shading gradient, nothing but a silhouette."
OpenCobra/GDK/Camera.cs,56,xml-doc,1,,"/// an entire park's mesh on-screen, scaled to that park's actual size — so deriving the far plane from"
OpenCobra/GDK/Camera.cs,236,xml-doc,1,,"/// instead. This engine renders exclusively via OpenGL (with no <c>glClipControl</c> override — the"
OpenCobra/GDK/CameraExtensions.cs,34,xml-doc,1,,"/// A point in framebuffer pixel space (Y-down, origin top-left) — not DPI-scaled logical/window"
OpenCobra/GDK/ImDraw.cs,46,xml-doc,1,,"/// own GPU resources (shader, VAO, VBO) end to end — matching how <c>Mesh</c> owns its VAO/VBO/upload"
OpenCobra/GDK/ImDraw.cs,47,xml-doc,1,,"/// rather than the renderer managing them — so the app layer never touches raw GL handles for this draw"
OpenCobra/GDK/ImDraw.cs,48,xml-doc,1,,"/// path. Every shape is triangles, not <c>GL_LINES</c> — <see cref=""Line""/> expands to a"
OpenCobra/GDK/ImDraw.cs,64,xml-doc,1,,"/// Depth-tested vertices — the default, for world-space overlays like a brush outline."
OpenCobra/GDK/ImDraw.cs,91,xml-doc,2,,"/// <c>IWindow.Render()</c> call — the point at which shapes actually get submitted — using the"
OpenCobra/GDK/ImDraw.cs,112,code-comment,1,,"// six non-indexed vertices (no EBO) since winding/culling never matters for this draw path — face"
OpenCobra/GDK/ImDraw.cs,198,xml-doc,1,,"/// Unlike <see cref=""Axis""/>/<see cref=""Circle""/>, only scales <paramref name=""headSize""/> — the shaft"
OpenCobra/GDK/ImDraw.cs,307,xml-doc,1,,"/// next <see cref=""Clear""/> — call once per frame after every shape for the frame has been submitted."
OpenCobra/GDK/Materials/Material.cs,72,code-comment,1,,"// compatibility syntax with a forward-compatible core context is driver-dependent — some drivers"
OpenCobra/GDK/MatrixExtensions.cs,15,xml-doc,1,,"/// needs this same row-vector-to-column-major conversion — it's GPU-serialization knowledge tied to"
OpenCobra/OVL/Files/TerrainTypes.cs,35,xml-doc,1,,"/// Not confirmed — see ovl-terrain-types.md's ""Unknown fields"" section."
OpenCobra/OVL/Files/TerrainTypes.cs,41,xml-doc,1,,"/// Not confirmed — see ovl-terrain-types.md's ""Unknown fields"" section."
OpenCobra/OVL/Files/TerrainTypes.cs,46,xml-doc,1,,"/// Not confirmed — see ovl-terrain-types.md's ""Unknown fields"" section."
OpenCobra/Tests/Fixtures/OVL/CFRs/SkyBeam/README.md,4,markdown,1,,"- **Source URL(s):** unknown — downloaded from ParkCrafters (parkcrafters.com), but neither"
OpenCobra/Tests/Fixtures/OVL/CustomScenery/README.md,10,markdown,1,,"1. Prefer small, simple packs (single items or small sets) over mega-packs — these are"
OpenCobra/Tests/Fixtures/OVL/CustomScenery/README.md,18,markdown,1,,"- The exact source URL(s) you downloaded it from — required so provenance is"
OpenCobra/Tests/Fixtures/OVL/CustomScenery/README.md,22,markdown,1,,"didn't say — most RCT3-era community content predates formal licensing and is"
OpenCobra/Tests/Fixtures/OVL/CustomScenery/README.md,24,markdown,1,,"3. No project-file changes needed — `Tests.csproj` embeds everything under this directory"
OpenCobra/Tests/Fixtures/OVL/CustomScenery/README.md,33,markdown,1,,"for additional test data — as long as it's attributed here."
OpenCobra/Tests/Fixtures/OVL/CustomScenery/Yoshi's Adventure/README.md,9,markdown,1,,"`READ ME.txt`, kept alongside this file) — not needed for OVL-parsing test purposes, just"
OpenCobra/Tests/Fixtures/OVL/README.md,8,markdown,1,definition dash after bold term,"- **`CustomScenery/`** — fan-made custom scenery packs, one subfolder per pack. Preferred"
OpenCobra/Tests/Fixtures/OVL/README.md,12,markdown,1,definition dash after bold term,"- **`CFRs/`** — custom flat rides, same one-subfolder-per-pack/README convention as"
OpenCobra/Tests/Fixtures/OVL/README.md,15,markdown,1,,"- No `BaseGame/` folder currently exists — none of the fixtures here are Frontier"
OpenCobra/Tests/Fixtures/OVL/README.md,20,markdown,1,,"`EmbeddedResource` glob — no project-file edits needed. `TexturesTests.cs` discovers"
OpenCobra/Tests/TestRunner/OvlTestBenchForm.cs,416,string-literal,1,,"timingLabel.Text = $""{elapsedStr} elapsed — ETA: {etaStr}"";"
OpenCobra/Tests/TestRunner/Program.cli.cs,31,string-literal,1,,"Console.WriteLine(""SKIP plugins — no plugins/ directory found"");"
OpenCobra/Tests/TestRunner/Program.cli.cs,45,string-literal,1,,"(r.Passed ? """" : $"" — {r.Error}""));"
OpenCobra/Tests/TestRunner/Program.cli.cs,56,string-literal,1,,"Console.WriteLine($""SKIP ovl — no OVL pairs found in {ovlDir}"");"
OpenCobra/Tests/TestRunner/Program.cli.cs,66,string-literal,1,,"(r.Passed ? """" : $"" — {r.Error}""));"
OpenRCT3.Tests/Fixtures/Parks/Fun Valley Amusment Park/README.md,5,markdown,1,,"- **Downloaded:** unknown — file predates this attribution convention; exact download date not"
OpenRCT3.Tests/Fixtures/Parks/README.md,14,markdown,1,,"`EmbeddedResource` glob — no project-file edits needed."
OpenRCT3.Tests/Fixtures/Parks/Reverse Engineering/README.md,3,markdown,1,,"User-authored saves, not third-party downloads — each pair/set differs from `baseline.dat` by"
OpenRCT3.Tests/Fixtures/Parks/Reverse Engineering/README.md,10,markdown,1,definition dash after bold term,"- **`baseline.dat`** — unmodified starting park, common ancestor for every other file here."
OpenRCT3.Tests/Fixtures/Parks/Reverse Engineering/README.md,11,markdown,1,,"- **`01-*.dat`** — terrain edits (corner height, surface paint, water). `01-one-far-corner-up.dat`"
OpenRCT3.Tests/Fixtures/Parks/Reverse Engineering/README.md,16,markdown,1,,"- **`02-*.dat`** — path edits (at-grade tile placement, raised tile placement)."
OpenRCT3.Tests/Fixtures/Parks/Rivendell/README.md,3,markdown,1,,"- **Original author:** unknown — the source page returned HTTP 403 when re-checked, so the"
OpenRCT3.Tests/Rides/TrackSpline/IntegrationTests.cs,17,xml-doc,1,,"/// entry/exit tangents by construction — continuity validation is exercised separately, not implied by"
OpenRCT3.Tests/Rides/TrackSpline/IntegrationTests.cs,132,code-comment,1,,"// Rails bake in local/model space — world placement (piece.Position/Heading/Bank) is a rendering-time"
OpenRCT3.Tests/Rides/TrackSpline/IntegrationTests.cs,133,code-comment,1,,"// concern, not baked into BakedSample data — so piece boundaries don't coincide spatially here. What"
OpenRCT3.Tests/Simulation/TerrainMeshBuilderTests.cs,33,code-comment,1,,"// touches it — here, the South and West edges of tile (1,1), and the West edge of tile (2,1)"
OpenRCT3/OpenGL/Renderer.cs,128,xml-doc,1,,"/// <c>IWindow.Render()</c> below, not before it — so <see cref=""ImDraw.Render""/> has to run after that"
OpenRCT3/OpenGL/Renderer.cs,133,xml-doc,1,,"/// <c>OpenCobra.GDK.ImDraw</c> itself, not here — this is just the orchestration point, same division"
OpenRCT3/Program.windows.cs,25,xml-doc,1,,"/// and kills the process immediately — bypassing <see cref=""AppDomain.UnhandledException""/> and NLog"
OpenRCT3/Program.windows.cs,113,code-comment,1,,"// failed Debug.Assert calls into NLog — see NLogAssertListener. Debug builds only: Debug.Assert"
OpenRCT3/Program.windows.cs,119,code-comment,1,,"// the CLR's default DefaultTraceListener.Fail calls Environment.FailFast synchronously — if it"
OpenRCT3/Rides/TrackLibrary.cs,36,xml-doc,1,,"/// Decodes every <c>tks</c> resource in <paramref name=""ovl""/> — with the <c>spl</c> rails it"
OpenRCT3/Rides/TrackLibrary.cs,37,xml-doc,1,,"/// references — into the segment set for <paramref name=""ride""/>."
OpenRCT3/Rides/TrackLibrary.cs,133,xml-doc,1,,"/// Resolved rail splines in <see cref=""TrackSection.SplineRefs""/> order — left, right, then any"
OpenRCT3/Rides/TrackLibrary.cs,134,xml-doc,1,,"/// join/extra rails — with unresolved references dropped."
OpenRCT3/Rides/TrackSpline/SplineBaker.cs,82,xml-doc,1,,"/// only ever needs to emit the far endpoint of whatever interval it accepts — never the midpoint, which"
OpenRCT3/Rides/TrackSpline/SplineTypes.cs,75,xml-doc,1,,"/// transformed by it — applying this piece's world transform to baked samples is the render pipeline's job."
OpenRCT3/Simulation/Park.cs,168,xml-doc,1,,"/// Both tiles must have a placed path, and must agree on <see cref=""PathTile.Raised""/> — a raised"
OpenRCT3/Simulation/Park.cs,175,xml-doc,1,,"/// <see cref=""AtGradePathMaxRise""/> — looser than an exact match, since gentle terrain undulation"
OpenRCT3/Simulation/Park.cs,205,xml-doc,1,,"/// flood-fill from a seed tile is not implemented here — the caller"
OpenRCT3/Simulation/Park.cs,301,xml-doc,1,,"/// placement is rejected outright — mirroring the ""Flatten for Scenery and Rides"" terrain tool and"
OpenRCT3/Simulation/Park.cs,361,xml-doc,1,,"/// <paramref name=""rotation""/> is <see cref=""Edge.West""/>/<see cref=""Edge.East""/> — a 90°/270° turn"
OpenRCT3/Simulation/SceneryDefinition.cs,14,xml-doc,1,,"/// symbol name via <see cref=""SceneryRegistry""/> — there is no separate internal ID."
OpenRCT3/Simulation/SceneryPlacement.cs,11,xml-doc,1,,"/// directly on <see cref=""Park.SceneryPlacements""/> — no wrapper ""layer"" type."
OpenRCT3/Simulation/SceneryPlacement.cs,38,xml-doc,1,,"/// <see cref=""SceneryDefinition.FootprintHeight""/> as-is, the West/East pair swaps them — this holds"
OpenRCT3/Simulation/Terrain.cs,219,xml-doc,1,,"/// Whether a tile's edge presents a cliff (vertical face) — i.e. the matching corner heights on"
OpenRCT3/Simulation/Terrain.cs,250,xml-doc,1,,"/// The <paramref name=""maxHeightQuery""/> lets a caller cap a corner's height — for example, a"
OpenRCT3/Simulation/Terrain.cs,321,xml-doc,1,,"/// Stores a height for one copy of a corner without propagating to neighbors — i.e. explicitly"
OpenRCT3/Simulation/Terrain.cs,388,xml-doc,1,,"/// corner — e.g. across the North edge, NorthWest mirrors to SouthWest (same X side), not"
OpenRCT3/Simulation/Terrain.cs,424,code-comment,1,math/range context,"// x' ∈ {wx, wx - 1} and y' ∈ {wy, wy - 1} — but only those tiles that also have the corner as"
OpenRCT3/Simulation/TerrainMeshBuilder.cs,23,xml-doc,1,,"/// yet — every vertex gets the same flat <paramref name=""color""/>."
TODO.md,15,markdown,1,,"- [x] Confirm LODs relation in OVL enums (`OpenCobra/OVL/Enums.cs:36`) — see"
TODO.md,17,markdown,1,,"- [x] Verify NoShadow duplicate value (`OpenCobra/OVL/Enums.cs:49`) — see"
