File,Line,Component,Category,CodeSnippet,Description,Remediation
OpenRCT3/Simulation/World.cs,141-142,OpenRCT3.Simulation.World,Call-Site IoC Resolution,"new UI.Debug(game, Game.IoC.Resolve<IWindow>(), Game.IoC.Resolve<IInputContext>())",Caller resolves container dependencies directly at instantiation site instead of delegating to constructor or container,"Move container resolution into class constructor overload, allowing caller to pass only primary dependencies"
OpenRCT3/Game.cs,114,OpenRCT3.Game,Call-Site IoC Resolution,"inputController = new InputController(IoC.Resolve<IInputContext>(), Config, Scene.Camera, Quit)",Caller queries IoC container inline to supply constructor argument,"Provide secondary constructor or default parameter on InputController to resolve IInputContext internally"
OpenRCT3/OpenGL/GLContext.windows.cs,155,OpenRCT3.OpenGL.GLContext,Per-Invocation Service Locator,"var gl = Game.IoC.Resolve<GL>()",Resolves GL dependency from global static container on every invocation of Clear(),"Resolve GL once during context initialization or inject via constructor and store in a private field"
OpenRCT3/Game.cs,43,OpenRCT3.Game,Field-Initializer Service Locator,"private readonly Renderer renderer = IoC.Resolve<IRenderer>() as Renderer ?? throw new InvalidOperationException()",Field initializer eagerly resolves container dependency prior to constructor execution,Inject IRenderer via constructor or defer resolution to Start/Run lifecycle
OpenRCT3/OpenGL/Renderer.cs,31-34,OpenRCT3.OpenGL.Renderer,Field-Initializer Service Locator,"private readonly IGLContext context = Game.IoC.Resolve<IGLContext>(); private readonly GL gl = Game.IoC.Resolve<GL>(); private readonly Controller gui = Game.IoC.Resolve<Controller>()",Class hides dependencies behind static container queries during field initialization instead of explicit parameters,"Convert to primary constructor accepting dependencies, backed by parameterless fallback constructor resolving from IoC"
OpenRCT3/Simulation/World.cs,82,OpenRCT3.Simulation.World,Container-Leaked Domain State,"Game.IoC.RegisterInstance(Terrain.GroundModel.Mesh, serviceKey: ServiceKey, ifAlreadyRegistered: IfAlreadyRegistered.Replace)",Publishes transient scene-graph mesh instance into global IoC container under string key,"Expose scene objects via domain object hierarchy (world.Terrain.GroundModel.Mesh) rather than container registrations"
OpenRCT3/Simulation/World.cs,139,OpenRCT3.Simulation.World,Redundant Instance Back-Registration,"Game.IoC.RegisterInstance(Debug, ifAlreadyRegistered: IfAlreadyRegistered.Replace)",Component is constructed manually with new then immediately registered back into global container,"Manage window lifecycle via Scene.Windows collection or register factory with container rather than pushing local instances"
OpenRCT3/Platforms/Windows/GLSurface.cs & OpenRCT3/Platforms/macOS/OpenGLLayer.cs,"105, 133",OpenRCT3.Platforms,Platform Registration Inconsistency,"Windows: Register<GUI.Controller>(Made.Of(...)) vs macOS: RegisterInstance(new Controller(input))",Inconsistent registration strategies (factory registration vs manual instantiation) for identical services across platforms,"Consolidate platform bootstrapping logic into a shared GDK platform registration method"
OpenRCT3/Platforms/Windows/GameWindow.cs & OpenRCT3/Platforms/macOS/MainWindow.cs,"46, 49",OpenRCT3.Platforms,Platform Registration Inconsistency,"Windows: RegisterInstance<IWindow>(this) vs macOS: RegisterInstance<IWindow>(this, preventDisposal: true)",Inconsistent disposal lifecycle flags when registering platform window instances across platforms,"Align registration flags across platforms (preventDisposal: true on both) to avoid premature disposal bugs"
OpenRCT3/Game.cs,46,OpenRCT3.Game,Static Ambient Service Locator,"public static DryIoc.Container IoC => IGame.IoC",Public static container property encourages pervasive service locator queries throughout codebase,"Encapsulate container; prefer constructor dependency injection and scoped lifetime management"
